Ratio_MonthlyCharges_tenure,Contract,tenure,MonthlyCharges,tenure_segment_encoded,TotalCharges,is_new_customer,PaymentMethod,InternetService,PaperlessBilling,Ratio_TotalCharges_MonthlyCharges*tenure,Churn
19.825,0,1,39.65,0,39.65,1,0,1,1,1.0,1
8.961111111111112,0,8,80.65,1,633.3,0,1,1,1,0.9815561066336018,1
5.023684210526316,0,18,95.45,2,1752.55,0,0,1,1,1.0200512193702345,1
3.7884615384615383,0,25,98.5,3,2514.5,0,0,0,1,1.0211167512690356,1
2.013157894736842,0,37,76.5,3,2868.15,0,0,1,1,1.0133015368309486,1
2.7875,0,27,78.05,3,2135.5,0,0,1,1,1.013358008873704,1
35.225,0,1,70.45,0,70.45,1,3,0,1,1.0,1
0.7677966101694915,0,58,45.3,3,2651.2,0,0,0,1,1.0090583847149275,1
4.653125,0,15,74.45,2,1145.7,0,3,1,1,1.025923438549362,1
9.55625,0,7,76.45,1,503.6,0,0,1,0,0.9410445669438476,1
7.916666666666667,0,11,95.0,1,1120.3,0,0,1,1,1.0720574162679426,1
4.65,0,15,74.4,2,1074.3,0,0,1,1,0.9626344086021505,1
20.1,0,1,40.2,0,40.2,1,0,0,0,1.0,1
10.2875,0,3,41.15,0,132.2,1,0,1,1,1.0708788983394086,1
7.635714285714286,0,13,106.9,2,1364.3,0,0,0,1,0.9817226739584082,1
5.555882352941176,0,16,94.45,2,1511.2,0,0,1,1,1.0,1
8.277777777777779,0,8,74.5,1,606.55,0,0,1,1,1.017701342281879,1
3.0439999999999996,0,24,76.1,2,1712.7,0,0,1,1,0.9377463863337715,1
19.09,0,4,95.45,0,396.1,1,0,1,1,1.0374541644840232,1
2.26969696969697,0,32,74.9,3,2303.35,0,0,0,1,0.9610105140186915,1
3.7260000000000004,0,24,93.15,2,2231.05,0,0,1,1,0.9979647521918052,1
1.4990909090909093,1,54,82.45,3,4350.1,0,0,1,0,0.9770455719515756,1
23.45,0,2,70.35,0,139.05,1,0,1,1,0.9882729211087422,1
1.9045454545454545,0,21,41.9,2,840.1,0,0,1,1,0.9547675872258211,1
1.0982142857142858,0,27,30.75,3,805.1,0,1,1,0,0.9697079193014153,1
1.6624999999999999,0,11,19.95,1,214.75,0,3,2,0,0.9785828206880839,1
1.5258928571428572,0,55,85.45,3,4874.7,0,0,1,1,1.0372253843289536,1
20.3375,0,3,81.35,0,233.7,1,0,1,1,0.9575906576521205,1
37.65,0,1,75.3,0,75.3,1,0,1,1,1.0,1
4.741666666666666,0,5,28.45,0,131.05,1,0,0,0,0.9212653778558876,1
4.480952380952381,0,20,94.1,2,1782.4,0,0,0,1,0.9470775770456961,1
12.391666666666666,0,5,74.35,0,334.8,1,0,1,1,0.9006052454606591,1
2.685714285714286,0,27,75.2,3,1929.35,0,0,0,1,0.9502314814814814,1
17.84,0,4,89.2,0,346.2,1,0,1,1,0.9702914798206277,1
42.85,0,1,85.7,0,85.7,1,0,1,1,1.0,1
1.5946969696969697,0,65,105.25,3,6786.4,0,0,0,0,0.9919824593458797,1
1.801,0,49,90.05,3,4547.25,0,1,1,0,1.0305499212455667,1
2.5170454545454546,0,43,110.75,3,4687.9,0,0,0,1,0.9843876318966874,1
1.8342105263157895,1,56,104.55,3,5794.65,0,0,0,1,0.9897263783562205,1
4.502380952380952,0,20,94.55,2,1899.65,0,0,0,1,1.004574299312533,1
29.833333333333332,0,2,89.5,0,161.5,1,0,0,0,0.9022346368715084,1
